,category,question,answer
27769,general_knowledge,What is the Capital of: Wallis and Futuna,Mata-utu
27770,general_knowledge,Egyptian god credited with first making beer,Osiris
27771,general_knowledge,What meets the Atlantic Ocean at the Cape of Good Hope,Indian ocean
27772,general_knowledge,Who created 'trepanning',Dr bart hughes
27773,general_knowledge,What is the Capital of: Zambia,Lusaka
27774,history,Which Chinese Dynasty Lasted From 1368-1644? ,Ming 
27775,geography,What is the capital of Singapore,Singapore
27776,general_knowledge,What is the Capital of: United States,Washington dc
27777,general_knowledge,A crested parrot,Cockatoo
27778,general_knowledge,"Which company produces PageMaker, Photoshop and Acrobat",Adobe
27779,general_knowledge,Of The Known Planets Which One Is Nearest The Sun,Mercury
27780,general_knowledge,After whose rebellion were the 'Bloody Assizes' presided over by the infamous Judge Jeffreys,Duke of monmouth
27781,general_knowledge,Who Provided The Voice Of Buzby In The Old BT Adverts Of The 1980's,Bernard Cribbins
27782,entertainment_music,What Was Rolf Harris 's First Hit,Tie Me Kangaroo Down Sport
27783,general_knowledge,Which BBC Newsreader Advertised Cow & Gate Baby Food In The 1980‘s?,Martin Lewis
27784,science_mathematics,Who invented logarithms ?,John Napier
27785,general_knowledge,Of what is 'soweto' in south africa an abbreviation,South west township
27786,general_knowledge,What in reality was Dr McCoy's medical scanner in Star Trek,A Salt Shaker
27787,science_nature,What Does BASIC Stand For In Computing Terms ,Beginners All Purpose Symbolic/Standard Instruction Code 
27788,geography,Which European country has the lowest population density,Iceland
27789,general_knowledge,A Baseball travels 9% faster in which US city,Denver - thinner air
27790,general_knowledge,What is an octothrope,The # symbol
27791,general_knowledge,What muscle is joined by the lingual nerve to the brain,Tongue
27792,science_nature," Because of the giant panda's large size and the small size of their offspring, it is difficult to tell when a panda is __________",Pregnant
27793,science_nature,Which part of a cat's eye reflects light ?,Tapetum
27794,general_knowledge,Where is maxim's restaurant,Paris
27795,general_knowledge,"Is right music: who recorded ""sos""",Abba
27796,general_knowledge,What is a group of owls,Parliament
27797,entertainment_music,"Who had a hit in 1987 with the single, Tonight, Tonight, Tonight?",Genesis
27798,general_knowledge,What singer's February 6th birthday is a national holiday in Jamaica,Bob
27799,science_nature,Where Did The Chrysanthemum Originate? ,Japan 
27800,general_knowledge,Who founded a monastery on Lindisfarne in AD 635,Saint aidan
27801,general_knowledge,Which edible nut of the American hickory tree is similar to a Walnut,Pecan
27802,geography,What is the basic unit of currency for Mauritania ?,Ouguiya
27803,general_knowledge,"""Sindinology"" Is A Well Known Historical Debate Concerning The Origins Of What",The Holy Shroud Of Turin
27804,general_knowledge,Which company is owned by Bill Gates,Microsoft
27805,food,Small cubes of fried or toasted bread ,Croutons 
27806,mythology,Who is the greek equivalent of the roman god Juno,Hera
27807,general_knowledge,Which Greek philosopher wrote The Republic and The Laws,Plato
27808,entertainment_music,Which British Band Released Two Hit Albums In The 1970's With Titles Taken From Marx Bros Film,Queen (A Night At The Opera & A Day At the Races)
27809,history,Who Had An 80's Hit With The Song 'Queen of Hearts' ,Juice Newton 
27810,general_knowledge,In which novel did Edgar Linton marry Catherine Earnshaw,Wuthering heights
27811,entertainment_music,What Country Did The Pop Duo Roxette Come From,Sweden
27812,general_knowledge,The Harlem Globetrotters had what signature tune,Sweet Georgia Brown
27813,general_knowledge,"Alphabetically, what were the two cities in 'A Tale of Two Cities'",London & paris
27814,general_knowledge,In what city is the worlds largest medieval cathedral,Seville
27815,science_nature,The closest living relative of this African mammal is the giraffe.,Okapi
27816,food,What is added to Whisky to make is Whisky Mac? ,Giner Wine 
27817,science_nature,What is the name given to the short tail of a rabbit ,Scut 
27818,general_knowledge,The process of adding a number to itself a certain number of times is called?,Multiplication
27819,general_knowledge,What do Christians call the period of fasting before Easter,Lent
27820,general_knowledge,"In Greek mythology, what did daedalus construct for minos",Labyrinth
27821,history,"What treaty, signed in 1713, ended the War of the Spanish Succession?",Treaty of Utrecht
27822,general_knowledge,How were the camels carrying abdul kassem ismael's library trained to walk,In alphabetical order
27823,general_knowledge,"The cooking term ""parmentier"" indicates which vegetable",Potatoes
27824,general_knowledge,What is an ideo locator,You are here' arrow
27825,entertainment_film,Tess Trueheart married which plainclothes detective?,Dick Tracy
27826,general_knowledge,Textophobia is a fear of ______,Certain fabrics
27827,entertainment_music,What Was Donny Osmonds Real First Name,Donald
27828,general_knowledge,The medical journal The Lancet was established in which year,1823
27829,geography,With what country is Fidel Castro associated,Cuba
27830,general_knowledge,Which is the only species of mammal that can't jump?,Elephant
27831,mythology,Who is the mother of Apollo and Artemis?,Leto
27832,general_knowledge,"Who recorded ""burning bridges"" in 1960",Jack scott
27833,general_knowledge,What is a group of this animal called: Raven,Unkindness
27834,geography,What is the capital of Qatar,Doha
27835,general_knowledge,What is a Dolly Varden,Large Hat
27836,general_knowledge,Poor whites in florida and georgia are called 'crackers' because of the name of their principal staple food which is what,Cracked corn
27837,general_knowledge,What happened to you if you get a nosicomial condition,Infection caught in hospital
27838,art,"Author of ""The Lighthouse"" and ""Eminent Victorians""?",Virginia Woolf
27839,general_knowledge,What is the fear of movement or motion known as,Kinetophobia
27840,entertainment_film,What is the name of Pearce Brosnan's first James Bond film?,Goldeneye
27841,general_knowledge,What word means an attack of nerves suffered by sportsman especially golfers,Yips
27842,general_knowledge,"Who recorded the album ""there and back"" in 1980",Jeff beck
27843,general_knowledge,"The study of natural phenomena: motion, forces, light, sound, etc. Is called ______",Physics
27844,general_knowledge,What is Challa,Bread - often plaited
27845,general_knowledge,What Canadian Prime Minister retired in 1984,Pierre Trudeau
27846,general_knowledge,Gabbro is which type of rock,Igneous
27847,general_knowledge,"What nation's populace watches the most TV, per capita",Japan's japans japan
27848,entertainment_music,"""Blaze Of Glory"" Was A Hit In 1990 For Whom",Jon Bon Jovi
27849,general_knowledge,What is the fear of dirt or contamination known as,Molysmophobia
27850,general_knowledge,What state is the second largest of the U.S.,Texas
27851,general_knowledge,What is the young of this animal called: Sheep,Lamb lambkins
27852,general_knowledge,What U.S. state includes the telephone area code 702,Nevada
27853,general_knowledge,What's the capital of Majorca?,Palma
27854,general_knowledge,What is the capitol of Belarus,Minsk
27855,general_knowledge,What is the young of this animal called: Deer,Fawn yearling
27856,general_knowledge,What is an angle greater than 180 degrees and less than 360 degrees,Reflex
27857,general_knowledge,How many months are there in a year,12
27858,general_knowledge,Portable underwater breathing apparatus,Aqualung
27859,food,Which countrys does one associate with the following foods or drinks 'Barmbrack' ,Ireland 
27860,food,Which countrys does one associate with the following foods or drinks: 'Sachertorte' ,Austria 
27861,general_knowledge,"The Russian revolutionary, Leon Trotsky, was exiled three times and eventually assassinated in which country",Mexico
27862,history,Presepe in Italy refers to what Christmas tradition? ,Nativity scene (literally meaning crib) 
27863,general_knowledge,"Cardinal, Barlinka and Napoleon are varieties of what",Black Grapes
27864,general_knowledge,What toy is manufactured to a tolerance of 5 thou of a millimetre,Lego
27865,general_knowledge,What tropic passes through Mexico,Cancer
27866,entertainment_music,Concrete And Clay Was A 1964 Hit For Which UK Band,Unit Four Plus Two
27867,general_knowledge,What's the worlds widest river,Amazon
27868,geography,In which continent would you find the Yangtze river ?,Asia
27869,general_knowledge,How many possible opening moves does white have at the start of a game of chess,20
27870,general_knowledge,In what direction does the nile river flow,North
27871,general_knowledge,"Brian eno released a us 1978 lp titled ""before and after _____""",Science
27872,geography,Chicago stands on the banks of which lake? ,Michigan 
27873,general_knowledge,Who said 'History is bunk'',Henry ford
27874,general_knowledge,Sylvester and Tweety Pie - Cat Bird started out as what,Clown and Baby
27875,general_knowledge,In Greek mythology Deianeira was the wife of who,Hercules
27876,general_knowledge,"Who was the backup singer on alice cooper's ""muscle of love"" lp",Liza
27877,general_knowledge,S J Perelman wrote the screen plays for many of the films starring which zany comedians,Marx brothers
27878,general_knowledge,Who invented the Parking Meter,Carlton c mcgee
27879,general_knowledge,Johnson who married george harrison's former wife,Eric clapton
27880,general_knowledge,What is the name of the smaller currency unit that an Austrian schilling is divided into,Groschen
27881,general_knowledge,Which dancing represents fertility through death and rebirth,Morris dancing
27882,sports,What Are The 6 Weapons Used In A Game Of Cluedo ,"Candlestick,Lead Pipe, Dagger, Spanner, Rope, Revolver "
27883,history,What made the crew sick in the movie Airplane? ,The fish 
27884,general_knowledge,Which religions name means The way of the Gods,Shinto
27885,general_knowledge,In what country is the town of Limoges,France
27886,general_knowledge,Raw vegetebles served as an hors d'oeuvre are called what,Crudites
27887,general_knowledge,Which companies name translates as rising sun,Hitachi
27888,general_knowledge,What is the Capital of: Mayotte,Mamoutzou
27889,science_nature,Of What Is Renolgy The Area Of Study ,The Kidneys 
27890,general_knowledge,Hotfoot Teddy was the original name of what icon,Smokey the Bear
27891,geography,Under what river does the Holland Tunnel run?,Hudson
27892,general_knowledge,"What pop group had a ""Message in a Bottle""",Police
27893,general_knowledge,In what city was the final of the 1991 Canada Cup played,Hamilton
27894,general_knowledge,If You Suffer From Aulophobia What Are You Afraid Of?,Flutes
27895,general_knowledge,Which Former England International Was The First Player To Be Born After England's 1966 World Cup Victory,Tony Adams
27896,general_knowledge,Who was the pop-up figure in the fun house in The Man With the Golden Gun,Al
27897,general_knowledge,English law males should do it 2 hours week watched by vicar,Archery Practice
27898,language,What is the only English word formed by the first three letters of the alphabet?,Cab
27899,general_knowledge,"Which Singer Sang The Title Song To The Disney Movie ""The Aristocats""",Maurice Chevalier
27900,general_knowledge,Bell View in Manchester built in 1928 was Britain's first what,Greyhound Stadium
27901,general_knowledge,What numbers can be found on the back of the U.S. $5 dollar bill in the bushes at the base of the Lincoln Memorial,172
27902,general_knowledge,"What City is nicknamed the ""Glass capital of the world""","Toledo, Ohio"
27903,general_knowledge,What term is used for the technique of growing plants without soil,Hydroponics
27904,general_knowledge,What is the name of the largest gold refinery?,Rand Refinery
27905,general_knowledge,Whose record breaking performance in winning Olympic Gold in 1968 stood as a World record for 23 years,Bob beamon
27906,general_knowledge,What were comfrey baths were believed to restore,Virginity
27907,general_knowledge,The juice of which berry can be used to prevent and treat urinary tract problems,Cranberry
27908,general_knowledge,What is a better known name of Switzerland's Mont Cervin,The matterhorn
27909,geography,Which city is on the east side of San Francisco Bay?,Oakland
27910,general_knowledge,The Algarve is in what country,Portugal
27911,geography,Which South American country has both a Pacific and Atlantic coastline?,Colombia
27912,general_knowledge,What British birds lay only one egg during the nesting season,Fulmar or Guillemot
27913,general_knowledge,What fruit did Eve give to Adam in the bible,Fig – Apple mistranslation
27914,general_knowledge,Carara in Tuscany is famous for producing what,Marble
27915,general_knowledge,What is the answer to the meaning of life according to Douglas Adams in 'The Hitchhikers Guide to the Galaxy?,42
27916,general_knowledge,Parton what is the official birthplace of country music,Bristol
27917,general_knowledge,Beijing drivers fined 40 Yuan doing what at pedestrian crossing,Stopping its illegal
27918,geography,What is the most sacred river in India?,Ganges
27919,general_knowledge,Collective nouns - A nye of what,Pheasants
27920,science_nature,What is 'Nitrous Oxide' more commonly known as ,Laughing Gas 
27921,general_knowledge,What is the collective name for a group of larks called,Exaltation
27922,food,"Booze Name: 1 1/2 oz. light rum, 1 lime, powdered sugar, fruit juice, blend w/crushed ice",Daiquiri
27923,general_knowledge,What is the distance from earth to the sun,93 million miles
27924,entertainment_music,Reaching No 3 What Was The first Singles Chart Entry For Smokie,If You Think You Know How You Love Me
27925,sports,This sport allows substitutions without a stoppage in play.,Hockey
27926,mythology,Who is the Norse Watchman of the Gods ?,Heimdall
27927,sports,How many minutes is each period of hockey,20
27928,entertainment_music,Who Backing Group Is The Range,Bruce Hornsby
27929,general_knowledge,What is the original meaning of the word Shambles,Abattoir butcher)
27930,general_knowledge,On an ordinance survey map what does a H in circle represent,Hospital
27931,history,He discovered the Grand Canyon.,Francisco Coronado
27932,general_knowledge,What countries flag has two bars white top red bottom,Poland
27933,entertainment_music,"Who Asked ""Are You Gonna Go My Way"" In 1993",Lenny Kravitz
27934,general_knowledge,What is a group of this animal called: Rat,Pack swarm
27935,general_knowledge,"At one time, 6 white beads of this Indian currency were worth one penny",Wampum
27936,general_knowledge,What was the name of the medical journal established by Dr Thomas Wakely,The lancet
27937,general_knowledge,"""7X"" was used to refer to the secret ingredient of which drink?",Coca Cola
27938,general_knowledge,What was Paul the Apostles real name,Saul
27939,sports,"What in sport, is 7 feet 9 quarter inches(2.375 metres) in length? ",The Oche in darts 
27940,geography,What lake is the source of the white nile ,Lake victoria 
27941,general_knowledge,"Kaleidoscope. Daddy, Palomino and Changes name the author",Danielle Steele
27942,general_knowledge,In 1940s California it was illegal to serve alcohol to who,Homosexuals
27943,general_knowledge,What show/game has characters such as bulbasaur and pikachu,Pokemon
27944,general_knowledge,Which group of professionals use computer dating the most,Teachers
27945,general_knowledge,What is another name for termites,White ants
27946,entertainment_music,"Who Had A Hit In 1991 With ""Bitter Tears""",Inxs
27947,general_knowledge,Tintoretto did most of his painting in what city,Venice
27948,general_knowledge,"Cheyenne, Navahoe and Arapaho are all what",Native american tribes
27949,general_knowledge,Arachnoid refers to what kind of creature,Spider
27950,entertainment_music,What was the title of Ike and Tina Turners only album?,"River Deep,Mountain high"
27951,entertainment_music,"Which label released Donna Summer""s ""Love To Love You Baby""?",Casablanca
27952,general_knowledge,In the Bible from whom did David steal his wife Bathsheba,The Hittite warrior Uriah
27953,art,In which British national daily newspaper does Rupert The Bear appear? ,The Daily Express 
27954,entertainment_music,Billy Idol Quit Which Band To Embark On His Solo Career,Generation X
27955,general_knowledge,"In 1986, what was the maximum fuel capacity imposed in formula 1 racing",One
27956,general_knowledge,What is the name of the theme song for The People's Court,The Big One
27957,science_nature,What Is The Most Abundant Radioactive Element ,Uranim (238) 
27958,general_knowledge,Which island was the site of the Australian Grand Prix,Philip Island
27959,general_knowledge,In French legend who is the lover of Abelard,Heloise
27960,general_knowledge,The religious text Tripitaka comes from which religion,Buddhism
27961,general_knowledge,In Feng Shui what colour inspires passion,Pink
27962,sports,Which Football Team Were Originally Nicknamed The Biscuitmen? ,Reading 
27963,sports,What Is The Official Circumference Of A Football ,27-28 Inches 
27964,general_knowledge,Which Australian writer won the Nobel prize in 1973,Patrick White
27965,entertainment_video_games,How many fighters are playable in 'Street Fighter II'?                                                                               ,8
27966,general_knowledge,"Who recorded the soundtrack for the movie ""flash gordon""",Queen
27967,general_knowledge,What sort of ship was the Marie Celeste,Brigantine
27968,general_knowledge,"In Jumanji, a stampede is released. What is the slowest animal?",Rhinoceros
27969,celebrities,Which Footballer Famously Slept With Several Miss Worlds Before Leaving Manchester United & Moving To Fulham ,George Best 
27970,general_knowledge,"What submarine had logged over 100,000 miles before being refueled in 1958",Uss nautilus
27971,general_knowledge,As who is Vincent Furnier known?,Alice Cooper
27972,general_knowledge,What is the highest waterfall in the Alps,The Richenbach Falls
27973,general_knowledge,What was the name of the saloon in Gunsmoke,Longbranch
27974,general_knowledge,Which Was The First University To Win University Challenge?,Leicester
27975,science_nature, The pronghorn __________ can run up to 61 miles per hour.,Antelope
27976,general_knowledge,What is the Welsh name for Wales,Cymru
27977,general_knowledge,To camber something is to ______ it:,Curve
27978,general_knowledge,On which canal is the Bingley Five Rise series of locks?,Leeds-Liverpool Canal
27979,general_knowledge,What Canadian sketch comedy show helped launch John Candy's career?,SCtv
27980,general_knowledge,Jerome Siberman became famous as who,Gene Wilder
27981,general_knowledge,Which animal has the latin name 'Bos grunniens',Yak
27982,general_knowledge,Palas is the correct name for what playing card,Queen of spades
27983,general_knowledge,"The play ""Our Town"" is set where",Grover's corners
27984,general_knowledge,Which gas was named after the Greek word for 'sun',Helium
27985,entertainment_music,Whose Real Name Is Cherilyn Sarkisian La Pier,Cher
27986,general_knowledge,"Reaching number two in the UK charts in 1991, which was the first hit single for Right Said Fred",I'm too sexy
27987,entertainment_music,"Who Had A Hit With The Song ""Say You Say Me""",Lionel Richie
27988,general_knowledge,What was the name of the ship that brought Dracula to England,Demeter
27989,science_nature,For What Is NA The Chemical Symbol ,Sodium 
27990,science_nature,Where Were The Worlds First Windmills? ,In Iran In The 7th Century 
27991,general_knowledge,Who did Valerie Solernis shoot on Jun 3rd 1968 in New York,Andy Worhole
27992,general_knowledge,Of which country was Anastasio Somoza president during the 1960s and '70s,Nicaragua
27993,general_knowledge,In which battle were 4 japanese carriers destroyed,Midway
27994,food,Which seed is the basic ingredient for tahina paste ? ,Sesame 
27995,general_knowledge,Sissy Jupe adopted by Thomas Gradgrind which Dickens novel,Hard Times
27996,general_knowledge,What are you forbidden to fly an airplane over in india,Taj mahal
27997,science_nature,Which Is The Largest Of The Poisonous Snakes? ,The King Cobra 
27998,general_knowledge,"What was the primary occupation of characters in ""Falcon Crest""?",Vineyard owners.
27999,general_knowledge,Zerelda was the first name of what outlaws wife and mother,Jesse James
28000,general_knowledge,How long did Yuri Gagarin's first orbit round the Earth take,108 minutes
28001,entertainment_video_games,How many bits are in a nibble ?,4
28002,general_knowledge,As what is Constantinople now known,Istanbul
28003,art,Which French Authors Novel Germinal Depicts Life In A Mining Community ,Emile Zola 
28004,general_knowledge,A Regatta is a boat races  - where was the original Regatta,Venice
28005,science_nature,What Is Caused Through A Spasm In The Diaphram ,A Hiccough 
28006,general_knowledge,Torme Music: Who recorded Heartbreak Hotel in 1956,Elvis presley
28007,general_knowledge,Who first wrote about the myth of Atlantis,Plato
28008,general_knowledge,Slugs have 4 ______,Noses
28009,general_knowledge,What is a group of ravens,Unkindness
28010,sports,What sport is played at Wrigley Field in Chicago Illinois - ,Baseball 
28011,entertainment_music,"Who Had Hits With The Songs ""Cambodia"" & ""You Keep me Hanging On""",Kim Wilde
28012,general_knowledge,Coal is sometimes added to softdrinks to make them ______,Sweeter
28013,general_knowledge,What is the process by which certain animals are able to reproduce themselves in successive female generations without intervention of a male of the species,Parthenogenesis
28014,general_knowledge,Hagiology is the study of what,Saints
28015,science_nature,Which Term Is Used For Electronic Intruments For Use In Aviation ,Avionics 
28016,general_knowledge,Who is also known as Mr. Warmth?,Don Rickles
28017,sports,What Is The Value Of The Letter (Q) In Scrabble ,10 points 
28018,history,What is the weight of the largest pumpkin in the world is it A 1046 lbs B 1246 lbs or is it C 1446 lbs ,C 1446 lbs 
28019,science_nature, Deer have no __________,Gall bladders
28020,general_knowledge,What was the first battleship powered by steam turbines 1906,HMS Dreadnought
28021,history,What was the name of Charles Lindbergh's plane in which he completed the first non-stop solo trans-Atlantic flight? ,Spirit of St Louis (achieved in 1927) 
28022,general_knowledge,What was a Royal Navy frigate accused throwing Cod War 1973,Carrots at Icelandic Gunboat
28023,general_knowledge,Capital of Argentina,Buenos aires
28024,geography,What is the capital of Gambia,Banjul
28025,entertainment_film,"Who did the voices of Bugs Bunny, Sylvester and Tweety Pie?",Mel Blanc
28026,language,What is the Israeli 'knesset'?,Parliament
28027,general_knowledge,Which is Britain's largest native carnivore,Badger
28028,general_knowledge,What country calls itself Suomi,Finland
28029,general_knowledge,What is the 'word' used for multiple personality disorder,Mpd
28030,general_knowledge,Lampy is the worlds oldest 1840s insured 1 million oldest what,Garden Gnome
28031,general_knowledge,Who directed 'the breakfast club',John hughes
28032,general_knowledge,Struthio Cameus is the Latin name of which creature,The Ostrich
28033,general_knowledge,"What African country's name is Latin for ""free""",Liberia's liberias liberia
28034,general_knowledge,President Hayes 1878 started which annual White house event,Easter Egg Roll
28035,general_knowledge,Which Victorian became the world's most famous sufferer of neurofibromatosis,John merrick/elephant man
28036,entertainment_music,Who Was Jailed For His Behavoir On A Flight From Paris To Manchester In february 1998,Ian Brown
28037,celebrities,By what name is Robert Zimmerman better known as?,Bob Dylan
28038,general_knowledge,What is measured on the Cephalic Index,Human head
28039,general_knowledge,Men play it at 40 feet women 30 feet what game,Horseshoes
28040,general_knowledge,The world's fastest reptile (21.7 mph) is a type of what,Iguana
28041,general_knowledge,What is used as the basis of tequila,Cactus
28042,entertainment_film,What does the term 'DJ' mean?,Disc Jockey
28043,general_knowledge,What is Pogonophobia the fear of,Beards
28044,general_knowledge,With what sport was mildred ella didrikson associated,Athletics
28045,geography,What Is The National Airline Of Russia ,Maya Island Air 
28046,general_knowledge,Clarence Birds Eye had what job,Fur Trader
28047,general_knowledge,What Gift Would You Buy Someone Who Is Celebrating Their 15th Wedding Anniversary,Crystal
28048,entertainment_board_games,"These are the two highest valued letters in ""Scrabble"".  ""Q"" and _____.",Z
28049,general_knowledge,Which band recorded the live album 'Live and Dangerous',Thin lizzie
28050,general_knowledge,The Simpsons are the longest running cartoon who is second,The Flintstones
28051,general_knowledge,"""There and back Again"" is an alternative title of which novel",The Hobbit
28052,food,What type of food is a bloomer? ,Bread 
28053,general_knowledge,The Daleks come from what planet ,Skaro
28054,general_knowledge,What is the oldest known science,Astronomy
28055,geography,In which English county is the town of Crook? ,Durham 
28056,food,"A food labelled ""Florentine"" is prepared with this.",Spinach
28057,general_knowledge,What is the name for Russian beet soup,Borscht
28058,general_knowledge,Poenosis is what medical condition,Chilblains
28059,geography,What is the basic unit of currency for North Korea ?,Won
28060,entertainment_film,What is Vanilla Ice's real name?,Robert van Winkle
28061,general_knowledge,Night live to where did jackie gleason move his 1960's variety series,Miami
28062,general_knowledge,Who tells stories about Brer Rabbit,Uncle remus
28063,general_knowledge,"Who married antonio banderas, her co-star in the film too much",Melanie Griffith
28064,general_knowledge,With what are alligators often confused,Crocodiles
28065,general_knowledge,Which Pop Singer Was Born Leslie Sebastian Charles,Billy Ocean
28066,general_knowledge,What was duke ellington's real name,Edward kennedy
28067,general_knowledge,What black magazine was founded by john h johnson in 1947,Ebony
28068,science_nature,A group of gorillas is known as a ___________.,Band
28069,entertainment_music,Which Road Could The Nashville Teens Be Found On,Tobacco Road
28070,general_knowledge,Vladimir Nabokov wrote Lolita in what language,English
28071,geography,Which of the 48 contiguous states extends farthest north,Minnesota
28072,general_knowledge,Where is tabasco,Mexico
28073,general_knowledge,What colour is the purple finch,Crimson
28074,general_knowledge,What name is given to a male witch ?,Warlock
28075,history,Orson Wells directed Charlton Heston and Janet Leigh in which 1958 film? ,Touch Of Evil 
28076,entertainment_music,"The Man Responsible For St Celia's 1971 Hit ""Leap Up And Down"" (Wave Your Knickers In The Air) Had Earlier Received Had Earlier Received A Degree From Trinity College Cambridge Who was He",Jonathan King
28077,sports,Football: The Minnesota _______.,Vikings
28078,general_knowledge,What is sometimes nicknamed Adams Profession,Gardener
28079,general_knowledge,What is a group of this animal called: Greyhound,Leash
28080,general_knowledge,"About which Prime Minister was it said ""He could never see a belt without hitting below it""",Lloyd george
28081,general_knowledge,"The Little Bighorn, scene of Custer's last stand, is in which U.S. State",Montana
28082,general_knowledge,West End Girls was the debut hit for what pop duo in the 80s,Pet shop boys
28083,entertainment_music,"Who Joined Rod Stewart And Bryan Adams On The 1994 Hit ""All For Love""?",Sting
28084,general_knowledge,Which river runs through St Petersburg,Neva
28085,general_knowledge,What is the capital of colombia,Bogota
28086,history,What was the board game introduced in the eighties which featured six categories of questions and little pie shaped pieces you had to collect? ,Trivia Pursuit 
28087,entertainment_music,Who Was The Original Baasit In The Bay City Rollers,Alan Longmuir
28088,general_knowledge,The food of the Greek & Roman gods,Ambrosia
28089,general_knowledge,The UIT govern what sport,International shooting union
28090,general_knowledge,What does the average person do approximately 15 times a day,Laugh
28091,entertainment_music,Who Had A Hit With the Song Umbrella In 2007,Rihanna
28092,general_knowledge,Who was ben hur's rival in the great chariot race,Messala
28093,general_knowledge,Narita is the main airport of which city,Tokyo
28094,general_knowledge,Service where is the largest circulation of sunday papers,Los angeles
28095,general_knowledge,Tarom Airlines is the national carrier of which country,Romania
28096,general_knowledge,In what Australian state would you find Rockhampton,Queensland
28097,entertainment_music,What Is The 3 Stringed Russian Instrument Called With The Triangular Body,Balalaika
28098,history,Name Jacques Cousteau's research ship.,Calypso
28099,general_knowledge,When did leif erikson set foot on north america,1000 ad
28100,general_knowledge,Which USA record producer played maracas Stones 1st album,Phil Spector
28101,food,Name the dessert named after a Derbyshire town? ,Bakewell tart 
28102,science_nature,The Vicufia Is A Member Of Which Family Of Mammals ,Llama 
28103,celebrities,Which King Reputedly Tried To Turn Back The Sea ? ,King Canute 
28104,food,Who Was The First Man To Bring Cocoa Beans To Europe ,Juan De Cardenas 
28105,general_knowledge,What was given on the fourth day of Christmas,Calling birds
28106,general_knowledge,Who wrote the opera Tosca,Puccini
28107,general_knowledge,What is the Hungarian word for pepper,Paprika
28108,general_knowledge,What's Mulder's nickname?,SPOOKY
28109,general_knowledge,What is 32 decimal expressed in hex,20
28110,history,Who Released The 70's Album Entitled Sheet Music ,10cc 
28111,entertainment_music,Whose Tribute To Soul Singer Geno Washington Reached No.1 In 1980,Dexy's Midnight Runners
28112,general_knowledge,Where does the univerity of maryland's football team play its home games,Byrd stadium
28113,entertainment_music,Gene Vincent Was Injured In A 1960 Car Crash But Who Was Killed In That Very Same Crash,Eddie Cochran
28114,food,Which Country Drinks The Most Beer Per Annum ,Germany 
28115,general_knowledge,Which nation won the most medals in the 1994 Winter Olympics,Norway
28116,general_knowledge,Santiago is the capitol of Chile what does it mean,Saint Iago - or Saint James
28117,general_knowledge,On a poll 50% men said sex in bed favourite 20% fem what fem,Reading 23%
28118,entertainment_board_games,How many numbers are on the spinner in the game of 'Life'?,Ten
28119,entertainment_film,Name the dog in the Yankee Doodle cartoons.,Chopper
28120,general_knowledge,What is the common name for the larynx,Voice box
28121,history,"""Which Is The Only Football Team In The 2006/2007 Premiership Which Doesn't Contain Any Of The Letters Of """"Santa"""" In It's Name?"" ",Liverpool 
28122,general_knowledge,Which cowboys middle names were Berry Stapp,Wyatt Earp
28123,general_knowledge,Iatrophobia is the fear of,Going to the doctor
28124,general_knowledge,Who played Adenoid Hynkel in the film The Great Dictator,Chalie chaplin
28125,general_knowledge,What was Edison’s first practical invention,Tick a Tape for stockmarket
28126,history,What changed in 1752 which caused Britain to have a White Christmas less frequently thereafter? ,The calendar 
28127,general_knowledge,What happened to Charles Brooks in 1982,First legal death by lethal Injection
28128,geography,Which 2 Countries Have Coastlines On The Bay Of Biscay ,France & Spain 
28129,general_knowledge,What animal eats rests and sleeps on its back,Sea Otter
28130,general_knowledge,How many moons does Jupiter have,Sixteen
28131,geography,What is the capital of Ohio?,Columbus
28132,general_knowledge,"Desire what mouseketeer's first hit song was ""tall paul""",Anette funicello
28133,sports,"In Baseball, What Name Is Given To The Completion Of A Circuit Of Bases On One Hit ",A Home Run 
28134,entertainment_music,What Was Supertramps First Uk Hit,Dreamer
28135,general_knowledge,What is the term for a castrated rooster?,Capon
28136,general_knowledge,Sir Henry Cole got John Callcot Horsley design ? to save time,Christmas card 1843
28137,general_knowledge,What were the two birds that noah sent out from the ark,Raven and dove
28138,general_knowledge,Who was the Greek cup-bearer to the gods,Ganymede
28139,general_knowledge,Who played the mayor of the munchkins in 'the wizard of oz',Charlie becker
28140,general_knowledge,Which Was The First Film Remake To Win The Title Of Best Picture Oscar?,Ben Hur
28141,general_knowledge,What reptilian feature evolved in feathers,Scales
28142,general_knowledge,"What did Wilde describe as ""A man who knows the price of everything and the value of nothing""",Cynic
28143,general_knowledge,A nuclear reactor was built beneath a Chicago football stadium in which year,1942
28144,entertainment_music,Who Sang The Theme To The Bond Movie Diamonds Are Forever,Shirley Bassey
28145,general_knowledge,Which of Charles Dickens' novels is mainly set in the Marshalsea Prison,Little dorritt
28146,general_knowledge,What is the flower that stands for: simplicity,American sweet-brier
28147,entertainment_music,"To Where Did Steely Dan Bid ""Toodle-oo""",East St Louis
28148,food,Which beer sponsors a pre-Wimbledon Tennis Tournament ,Stella Artois 
28149,food,What country is the largest consumer of beer per head? ,Germany 
28150,general_knowledge,JVC launched VHS in 1976 what does VHS stand for,Video Home System
28151,general_knowledge,What Country Is The Only Country To Host The Summer Olympic Games & Not Win A Single Medal,Canada
28152,art,What Was Shakespeare's First Play ,Henry VI 
